hierarquia,topico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,porcentagem_encontrada_num,porcentagem_caderno_num,nivel_hierarquia
05,Questões Interdisciplinares de Inglês,170,0.15%,170,0.15%,0.15,0.15,1
05,Redes de Computadores,334,0.29%,334,0.29%,0.29,0.29,1
05,Semântica,1268,1.09%,1268,1.09%,1.09,1.09,1
05,Organização Administrativa,2114,1.82%,2114,1.82%,1.82,1.82,1
05.01,Do Poder Legislativo (arts. 44 a 75 da CF/1988),1479,1.27%,1479,1.27%,1.27,1.27,2
05.01,"Conceitos, Modelos, Tipos e Topologias de Redes",68,0.06%,68,0.06%,0.06,0.06,2
05.01,Organização Administrativa da União,2045,1.76%,2045,1.76%,1.76,1.76,2
05.01,Sinônimos e Antônimos,366,0.31%,366,0.31%,0.31,0.31,2
05.01,"Inglês e Conhecimentos Gerais (Saúde, Sociedade, Engenharia etc.)",40,0.03%,40,0.03%,0.03,0.03,2
05.01.01,Do Congresso Nacional (arts. 44 a 47 da CF/1988),69,0.06%,69,0.06%,0.06,0.06,3
05.01.01,Administração Direta (Órgãos Públicos),231,0.20%,231,0.20%,0.2,0.2,3
05.01.02,Das Atribuições do Congresso Nacional (arts. 48 a 50 da CF/1988),124,0.11%,124,0.11%,0.11,0.11,3
05.01.02,Administração Indireta,844,0.73%,844,0.73%,0.73,0.73,3
05.01.03,Da Câmara dos Deputados (art. 51 da CF/1988),46,0.04%,46,0.04%,0.04,0.04,3
05.01.03,Conselhos Profissionais,12,0.01%,12,0.01%,0.01,0.01,3
05.01.04,Desconcentração e Descentralização,283,0.24%,283,0.24%,0.24,0.24,3
05.01.04,Do Senado Federal (art. 52 da CF/1988),63,0.05%,63,0.05%,0.05,0.05,3
05.01.05,Agências Reguladoras e Executivas,273,0.23%,273,0.23%,0.23,0.23,3
05.01.05,Dos Deputados e Senadores (arts. 53 a 56 da CF/1988),129,0.11%,129,0.11%,0.11,0.11,3
05.01.06,"Terceiro Setor (OSs, OSCIPs, Sistema S e Fundações de Apoio)",292,0.25%,292,0.25%,0.25,0.25,3
05.01.06,Das Reuniões (art. 57 da CF/1988),14,0.01%,14,0.01%,0.01,0.01,3
05.01.07,Lei nº 13.303/2016 - Estatuto Jurídico da EP e SEM (arts. 1º a 27),63,0.05%,63,0.05%,0.05,0.05,3
05.01.07,Das Comissões Parlamentares - Permanentes e Temporárias (art. 58 da CF/1988),132,0.11%,132,0.11%,0.11,0.11,3
05.01.08,Processo Legislativo (arts. 59 a 69 da CF/1988),590,0.51%,590,0.51%,0.51,0.51,3
05.01.08,Decreto nº 8.945/2016 - Regulamenta a Lei nº 13.303/2016,3,0.00%,3,0.00%,0.0,0.0,3
05.01.08.01,"Disposição Geral (Processo Legislativo, art. 59 da CF/1988)",15,0.01%,15,0.01%,0.01,0.01,4
05.01.08.02,Da Emenda à Constituição (art. 60 da CF/1988),148,0.13%,148,0.13%,0.13,0.13,4
05.01.08.03,Leis Ordinárias e Complementares,48,0.04%,48,0.04%,0.04,0.04,4
05.01.08.04,Medidas Provisórias,146,0.13%,146,0.13%,0.13,0.13,4
05.01.08.05,Leis Delegadas,16,0.01%,16,0.01%,0.01,0.01,4
05.01.08.06,Resoluções e Decretos Legislativos,12,0.01%,12,0.01%,0.01,0.01,4
05.01.08.07,"Fases do Processo Legislativo (Iniciativa, Discussão, Voto, Veto, Sanção, Promulgação e Publicação)",154,0.13%,154,0.13%,0.13,0.13,4
05.01.08.08,Questões Mescladas de Processo Legislativo (arts. 59 a 69 da CF/1988),51,0.04%,51,0.04%,0.04,0.04,4
05.01.09,"Da Fiscalização Contábil, Financeira e Orçamentária (arts. 70 a 75 da CF/1988)",270,0.23%,270,0.23%,0.23,0.23,3
05.01.09,"Decreto nº 10.835/2021 - Cessões, Requisições e Alterações do Exercício para Composição da Força de Trabalho em que a Administração Pública Federal seja Parte",2,0.00%,2,0.00%,0.0,0.0,3
05.01.09.01,Competências para Fiscalização e Tribunal de Contas da União (arts. 70 a 73 da CF/1988),188,0.16%,188,0.16%,0.16,0.16,4
05.01.09.02,Sistema de Controle Interno (art. 74 da CF/1988),22,0.02%,22,0.02%,0.02,0.02,4
05.01.09.03,"Tribunais de Contas Estaduais, Distrital e Municipais",60,0.05%,60,0.05%,0.05,0.05,4
05.01.10,Tópicos Mesclados de Organização Administrativa da União,42,0.04%,42,0.04%,0.04,0.04,3
05.01.10,Questões Mescladas de Poder Legislativo (arts. 44 a 75 da CF/1988),42,0.04%,42,0.04%,0.04,0.04,3
05.02,Organização Administrativa dos Estados e do DF,50,0.04%,50,0.04%,0.04,0.04,2
05.02,Homônimos e Parônimos,17,0.01%,17,0.01%,0.01,0.01,2
05.02,"Equipamentos, Meios de Transmissão e Conexão",87,0.07%,87,0.07%,0.07,0.07,2
05.02,Inglês e Pedagogia,92,0.08%,92,0.08%,0.08,0.08,2
05.02,Do Poder Executivo (arts. 76 a 91 da CF/1988),430,0.37%,430,0.37%,0.37,0.37,2
05.02.01,Do Presidente e Vice Presidente da República (arts. 76 a 83 da CF/1988),69,0.06%,69,0.06%,0.06,0.06,3
05.02.01,Organização Administrativa do AC,2,0.00%,2,0.00%,0.0,0.0,3
05.02.01.01,Lei Complementar Estadual nº 314/2015 - Estrutura Administrativa e Política e Operacional (AC),2,0.00%,2,0.00%,0.0,0.0,4
05.02.02,Organização Administrativa do AP,2,0.00%,2,0.00%,0.0,0.0,3
05.02.02,Das Atribuições do Presidente da República (art. 84 da CF/1988),208,0.18%,208,0.18%,0.18,0.18,3
05.02.02.01,Lei Estadual nº 338/1997 - Organização do Poder Executivo do Estado do AP,2,0.00%,2,0.00%,0.0,0.0,4
05.02.03,Organização Administrativa do CE,5,0.00%,5,0.00%,0.0,0.0,3
05.02.03,Da Responsabilidade do Presidente da República (arts. 85 e 86 da CF/1988),102,0.09%,102,0.09%,0.09,0.09,3
05.02.03.01,"Lei Estadual nº 12.781/1997 - Institui o Programa Estadual de Incentivo às Organizações Sociais, Dispõe sobre a Qualificação destas Entidades e Dá Outras Providências (CE)",2,0.00%,2,0.00%,0.0,0.0,4
05.02.03.02,"Lei Estadual nº 13.476/2004 - Autoriza a Administração Pública Estadual a Doar Bens Móveis e Equipamentos a Entidades Públicas e Privadas, nas Condições que Indica (CE)",1,0.00%,1,0.00%,0.0,0.0,4
05.02.03.03,"Lei Estadual nº 16.710/2018 - Dispõe sobre o Modelo de Gestão do Poder Executivo, Altera a Estrutura da Administração Estadual (CE)",2,0.00%,2,0.00%,0.0,0.0,4
05.02.04,Dos Ministros de Estado (arts. 87 e 88 da CF/1988),23,0.02%,23,0.02%,0.02,0.02,3
05.02.04,Organização Administrativa do DF,1,0.00%,1,0.00%,0.0,0.0,3
05.02.05,Organização Administrativa do ES,3,0.00%,3,0.00%,0.0,0.0,3
05.02.05,Do Conselho da República e Conselho da Defesa Nacional (arts. 89 a 91 da CF/1988),28,0.02%,28,0.02%,0.02,0.02,3
05.02.06,Organização Administrativa do MT,1,0.00%,1,0.00%,0.0,0.0,3
05.02.06.01,Lei Complementar Estadual nº 612/2019 - Organização Administrativa do Poder Executivo do MT,1,0.00%,1,0.00%,0.0,0.0,4
05.02.07,Organização Administrativa do PA,31,0.03%,31,0.03%,0.03,0.03,3
05.02.07.01,Outros Normativos sobre Organização Administrativa do PA,31,0.03%,31,0.03%,0.03,0.03,4
05.02.08,Organização Administrativa do RN (Lei Complementar Estadual nº 163/1999),2,0.00%,2,0.00%,0.0,0.0,3
05.02.09,Organização Administrativa de RR,2,0.00%,2,0.00%,0.0,0.0,3
05.02.09.01,Lei Estadual nº 498/2005 - Diretrizes e Bases da Administração Estadual (RR),1,0.00%,1,0.00%,0.0,0.0,4
05.02.09.02,Lei Estadual nº 499/2005 - Reorganização Administrativa do Estado de RR,1,0.00%,1,0.00%,0.0,0.0,4
05.02.10,Organização Administrativa de SE (Lei Complementar Estadual nº 33/1996),1,0.00%,1,0.00%,0.0,0.0,3
05.03,Organização Administrativa dos Municípios,19,0.02%,19,0.02%,0.02,0.02,2
05.03,Inglês e Tecnologia da Informação,38,0.03%,38,0.03%,0.03,0.03,2
05.03,Denotação e Conotação,159,0.14%,159,0.14%,0.14,0.14,2
05.03,Do Poder Judiciário (arts. 92 a 126 da CF/1988),1006,0.87%,1006,0.87%,0.87,0.87,2
05.03,Protocolos de Redes,179,0.15%,179,0.15%,0.15,0.15,2
05.03.01,"Das Disposições Gerais (Poder Judiciário, arts. 92 a 100 da CF/1988)",245,0.21%,245,0.21%,0.21,0.21,3
05.03.01.01,Órgãos do Poder Judiciário (art. 92 da CF/1988),25,0.02%,25,0.02%,0.02,0.02,4
05.03.01.02,Do Estatuto da Magistratura (art. 93 da CF/1988),48,0.04%,48,0.04%,0.04,0.04,4
05.03.01.03,Do Quinto Constitucional (art. 94 da CF/1988),16,0.01%,16,0.01%,0.01,0.01,4
05.03.01.04,"Das Garantias e Vedações (Poder Judiciário, art. 95 da CF/1988)",47,0.04%,47,0.04%,0.04,0.04,4
05.03.01.05,"Competências Privativas (Poder Judiciário, art. 96 da CF/1988)",23,0.02%,23,0.02%,0.02,0.02,4
05.03.01.06,"Reserva de Plenário (Poder Judiciário, art. 97 da CF/1988)",21,0.02%,21,0.02%,0.02,0.02,4
05.03.01.07,Juizados Especiais e Justiça de Paz (art. 98 da CF/1988),6,0.01%,6,0.01%,0.01,0.01,4
05.03.01.08,"Autonomia Administrativa e Financeira (Poder Judiciário, art. 99 da CF/1988)",13,0.01%,13,0.01%,0.01,0.01,4
05.03.01.09,Dos Precatórios (art. 100 da CF/1988),46,0.04%,46,0.04%,0.04,0.04,4
05.03.02,Do Supremo Tribunal Federal - STF (arts. 101 a 103 da CF/1988),153,0.13%,153,0.13%,0.13,0.13,3
05.03.03,Das Súmulas Vinculantes (art. 103-A da CF/1988),50,0.04%,50,0.04%,0.04,0.04,3
05.03.04,Do Conselho Nacional de Justiça - CNJ (art. 103-B da CF/1988),144,0.12%,144,0.12%,0.12,0.12,3
05.03.05,Do Superior Tribunal de Justiça - STJ (arts. 104 e 105 da CF/1988),133,0.11%,133,0.11%,0.11,0.11,3
05.03.06,Dos Tribunais Regionais Federais e Juízes Federais (arts. 106 a 110 da CF/1988),74,0.06%,74,0.06%,0.06,0.06,3
05.03.07,Dos Tribunais e Juízes do Trabalho (arts. 111 a 117 da CF/1988),46,0.04%,46,0.04%,0.04,0.04,3
05.03.08,Dos Tribunais e Juízes Eleitorais (arts. 118 a 121 da CF/1988),50,0.04%,50,0.04%,0.04,0.04,3
05.03.09,Dos Tribunais e Juízes Militares (arts. 122 a 124 da CF/1988),19,0.02%,19,0.02%,0.02,0.02,3
05.03.10,Dos Tribunais e Juízes dos Estados (arts. 125 e 126 da CF/1988),29,0.02%,29,0.02%,0.02,0.02,3
05.03.11,Questões Mescladas de Poder Judiciário (arts. 92 a 126 da CF/1988),63,0.05%,63,0.05%,0.05,0.05,3
05.04,Polissemia,26,0.02%,26,0.02%,0.02,0.02,2
05.04,Funções Essenciais à Justiça (arts. 127 a 135 da CF/1988),534,0.46%,534,0.46%,0.46,0.46,2
05.04.01,Ministério Público (arts. 127 a 130 da CF/1988),311,0.27%,311,0.27%,0.27,0.27,3
05.04.01.01,Princípios Institucionais (Ministério Público),32,0.03%,32,0.03%,0.03,0.03,4
05.04.01.02,Funções Institucionais (Ministério Público),98,0.08%,98,0.08%,0.08,0.08,4
05.04.01.03,Composição do Ministério Público,54,0.05%,54,0.05%,0.05,0.05,4
05.04.01.04,Garantias e Vedações (Ministério Público),45,0.04%,45,0.04%,0.04,0.04,4
05.04.01.05,Ministério Público junto aos Tribunais de Contas,22,0.02%,22,0.02%,0.02,0.02,4
05.04.01.06,Conselho Nacional do Ministério Público - CNMP,31,0.03%,31,0.03%,0.03,0.03,4
05.04.01.07,Ministério Público dos Estados e Distrito Federal e Territórios,10,0.01%,10,0.01%,0.01,0.01,4
05.04.01.08,Questões Mescladas de Ministério Público (arts. 127 a 130 da CF/1988),19,0.02%,19,0.02%,0.02,0.02,4
05.04.02,Da Advocacia Pública (arts. 131 e 132 da CF/1988),79,0.07%,79,0.07%,0.07,0.07,3
05.04.03,Advocacia Privada e Defensoria Pública (arts. 133 a 135 da CF/1988),98,0.08%,98,0.08%,0.08,0.08,3
05.04.04,Questões Mescladas de Funções Essenciais à Justiça (arts. 127 a 135 da CF/1988),46,0.04%,46,0.04%,0.04,0.04,3
05.05,Ordenação de Parágrafos,30,0.03%,30,0.03%,0.03,0.03,2
05.05,Questões Mescladas de Organização dos Poderes (arts. 44 a 135 da CF/1988),68,0.06%,68,0.06%,0.06,0.06,2
05.06,Significação de Vocábulo e Expressões,520,0.45%,520,0.45%,0.45,0.45,2
05.07,Outras Questões de Semântica,150,0.13%,150,0.13%,0.13,0.13,2
06,Defesa do Estado e das Instituições Democráticas (arts. 136 a 144 da CF/1988),368,0.32%,368,0.32%,0.32,0.32,1
06,Internet,2073,1.78%,2073,1.78%,1.78,1.78,1
06,Sintaxe,1083,0.93%,1083,0.93%,0.93,0.93,1
06,Responsabilidade Civil do Estado,727,0.63%,727,0.63%,0.63,0.63,1
06,Governo Eletrônico,66,0.06%,66,0.06%,0.06,0.06,1
06,Sem Classificação,154,0.13%,154,0.13%,0.13,0.13,1
06.01,Conceitos de Internet,175,0.15%,175,0.15%,0.15,0.15,2
06.01,"Frase, Oração e Período",41,0.04%,41,0.04%,0.04,0.04,2
06.01,Estado de Defesa e de Sítio (arts. 136 a 141 da CF/1988),108,0.09%,108,0.09%,0.09,0.09,2
06.01,Conceitos Iniciais e Teorias da Responsabilidade,316,0.27%,316,0.27%,0.27,0.27,2
06.02,Funções Sintáticas,536,0.46%,536,0.46%,0.46,0.46,2
06.02,Responsabilidade Objetiva das Empresas Estatais e das Prestadoras de Serviços Públicos,86,0.07%,86,0.07%,0.07,0.07,2
06.02,Forças Armadas (arts. 142 e 143 da CF/1988),38,0.03%,38,0.03%,0.03,0.03,2
06.02,Intranet e Extranet,101,0.09%,101,0.09%,0.09,0.09,2
06.02.01,Termos Essenciais da Oração,249,0.21%,249,0.21%,0.21,0.21,3
06.02.01.01,Sujeito,221,0.19%,221,0.19%,0.19,0.19,4
06.02.01.02,Predicado,28,0.02%,28,0.02%,0.02,0.02,4
06.02.02,"Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",169,0.15%,169,0.15%,0.15,0.15,3
06.02.03,"Termos Acessórios (Adjunto Adnominal, Adjunto Adverbial e Aposto). Vocativo",101,0.09%,101,0.09%,0.09,0.09,3
06.02.04,Adjunto adnominal x Complemento Nominal,17,0.01%,17,0.01%,0.01,0.01,3
06.03,Navegadores (Browsers),1023,0.88%,1023,0.88%,0.88,0.88,2
06.03,Responsabilidade dos Agentes Públicos e Direito de Regresso,129,0.11%,129,0.11%,0.11,0.11,2
06.03,Segurança Pública (art. 144 da CF/1988),222,0.19%,222,0.19%,0.19,0.19,2
06.03,Orações Coordenadas,41,0.04%,41,0.04%,0.04,0.04,2
06.03.01,Internet Explorer,784,0.67%,784,0.67%,0.67,0.67,3
06.03.02,Mozilla Firefox,63,0.05%,63,0.05%,0.05,0.05,3
06.03.03,Google Chrome,88,0.08%,88,0.08%,0.08,0.08,3
06.03.04,Microsoft Edge,18,0.02%,18,0.02%,0.02,0.02,3
06.03.05,Safari,1,0.00%,1,0.00%,0.0,0.0,3
06.03.06,Questões Mescladas de Navegadores,69,0.06%,69,0.06%,0.06,0.06,3
06.04,Orações Subordinadas Substantivas,59,0.05%,59,0.05%,0.05,0.05,2
06.04,Excludentes e Atenuantes de Responsabilidade,63,0.05%,63,0.05%,0.05,0.05,2
06.04,Correio Eletrônico (E-mail),411,0.35%,411,0.35%,0.35,0.35,2
06.04.01,"Recursos, Campos, Endereçamento (Correio Eletrônico)",80,0.07%,80,0.07%,0.07,0.07,3
06.04.02,Outlook,85,0.07%,85,0.07%,0.07,0.07,3
06.04.02.01,Outlook 2003 e Versões Anteriores,25,0.02%,25,0.02%,0.02,0.02,4
06.04.02.02,Outlook 2007,14,0.01%,14,0.01%,0.01,0.01,4
06.04.02.03,Outlook 2010,13,0.01%,13,0.01%,0.01,0.01,4
06.04.02.04,Outlook 2013,3,0.00%,3,0.00%,0.0,0.0,4
06.04.02.05,Outlook 2016,5,0.00%,5,0.00%,0.0,0.0,4
06.04.02.06,Outlook 2019,25,0.02%,25,0.02%,0.02,0.02,4
06.04.03,Outlook Express,177,0.15%,177,0.15%,0.15,0.15,3
06.04.04,Mozilla Thunderbird,49,0.04%,49,0.04%,0.04,0.04,3
06.04.05,Webmails,20,0.02%,20,0.02%,0.02,0.02,3
06.04.05.01,Conceitos Gerais sobre Webmails,17,0.01%,17,0.01%,0.01,0.01,4
06.04.05.02,Gmail,3,0.00%,3,0.00%,0.0,0.0,4
06.05,Responsabilidade Civil por Atos Omissivos,45,0.04%,45,0.04%,0.04,0.04,2
06.05,Orações Subordinadas Adjetivas,117,0.10%,117,0.10%,0.1,0.1,2
06.05,"Sites de Busca (Google, Bing, Yahoo, etc.)",123,0.11%,123,0.11%,0.11,0.11,2
06.06,Responsabilidade por Atos Legislativos e Judiciais,24,0.02%,24,0.02%,0.02,0.02,2
06.06,"Redes Sociais (Facebook, WhatsApp, etc.)",30,0.03%,30,0.03%,0.03,0.03,2
06.06,Orações Subordinadas Adverbiais,91,0.08%,91,0.08%,0.08,0.08,2
06.07,Grupos Colaborativos e de Discussão,20,0.02%,20,0.02%,0.02,0.02,2
06.07,"Casos Especiais (Danos decorrentes de Obra Pública, Responsabilidade dos Tabeliães, etc.)",22,0.02%,22,0.02%,0.02,0.02,2
06.07,Orações Reduzidas,38,0.03%,38,0.03%,0.03,0.03,2
06.08,Tópicos Mesclados de Responsabilidade Civil do Estado,42,0.04%,42,0.04%,0.04,0.04,2
06.08,Funções Sintáticas dos Pronomes Relativos,17,0.01%,17,0.01%,0.01,0.01,2
06.08,Computação em Nuvem (Cloud Computing),161,0.14%,160,0.14%,0.14,0.14,2
06.08.01,Conceitos e Tipos de Computação em Nuvem (Cloud Computing),115,0.10%,115,0.10%,0.1,0.1,3
06.08.02,Nuvens Microsoft (OneDrive e Azure),22,0.02%,22,0.02%,0.02,0.02,3
06.08.03,Google Drive,1,0.00%,1,0.00%,0.0,0.0,3
06.08.04,Google Workspace,18,0.02%,18,0.02%,0.02,0.02,3
06.08.05,Dropbox,4,0.00%,4,0.00%,0.0,0.0,3
06.09,Função Sintática dos Pronomes Pessoais Átonos,28,0.02%,28,0.02%,0.02,0.02,2
06.09,Portais e Comércio Eletrônico,4,0.00%,4,0.00%,0.0,0.0,2
06.10,Demais Serviços de Internet,14,0.01%,14,0.01%,0.01,0.01,2
06.10,Questões Mescladas de Sintaxe,115,0.10%,115,0.10%,0.1,0.1,2
06.11,Questões Mescladas de Internet,11,0.01%,11,0.01%,0.01,0.01,2
07,"Pontuação (Ponto, Vírgula, Travessão, Aspas, Parênteses, etc)",1573,1.35%,1573,1.35%,1.35,1.35,1
07,Serviços Públicos,1373,1.18%,1373,1.18%,1.18,1.18,1
07,Tributação e Orçamento (arts. 145 a 169 da CF/1988),405,0.35%,405,0.35%,0.35,0.35,1
07,Modelos Teóricos de Gestão Pública,478,0.41%,478,0.41%,0.41,0.41,1
07,Segurança da Informação,810,0.70%,810,0.70%,0.7,0.7,1
07.01,Sistema Tributário Nacional (arts. 145 a 162 da CF/1988),228,0.20%,228,0.20%,0.2,0.2,2
07.01,Administração Patrimonialista,54,0.05%,54,0.05%,0.05,0.05,2
07.01,Conceitos (Serviços Públicos - Lei nº 8.987/1995),90,0.08%,90,0.08%,0.08,0.08,2
07.01,Conceitos e Princípios de Segurança da Informação,46,0.04%,46,0.04%,0.04,0.04,2
07.01.01,"Dos Princípios Gerais (Sistema Tributário Nacional, arts. 145 a 149-B da CF/1988)",69,0.06%,69,0.06%,0.06,0.06,3
07.01.02,Limitações do Poder de Tributar (arts. 150 a 152 da CF/1988),85,0.07%,85,0.07%,0.07,0.07,3
07.01.03,Dos Impostos da União (arts. 153 e 154 da CF/1988),18,0.02%,18,0.02%,0.02,0.02,3
07.01.04,Dos Impostos dos Estados e Distrito Federal (art. 155 da CF/1988),17,0.01%,17,0.01%,0.01,0.01,3
07.01.05,Dos Impostos dos Municípios (art. 156 da CF/1988),15,0.01%,15,0.01%,0.01,0.01,3
07.01.06,"Do Imposto de Competência Compartilhada entre Estados, Distrito Federal e Municípios (arts. 156-A e 156-B da CF/1988)",1,0.00%,1,0.00%,0.0,0.0,3
07.01.07,Da Repartição das Receitas Tributárias (arts. 157 a 162 da CF/1988),23,0.02%,23,0.02%,0.02,0.02,3
07.02,Administração Burocrática,162,0.14%,162,0.14%,0.14,0.14,2
07.02,"Ameaças (Vírus, Worms, Trojans, Malware, etc.)",256,0.22%,256,0.22%,0.22,0.22,2
07.02,Classificação de Serviços Públicos,73,0.06%,73,0.06%,0.06,0.06,2
07.02,Finanças Públicas (arts. 163 a 169 da CF/1988),177,0.15%,177,0.15%,0.15,0.15,2
07.02.01,"Normas Gerais (Finanças Públicas, arts. 163 e 164-A da CF/1988)",29,0.02%,29,0.02%,0.02,0.02,3
07.02.02,"Dos Orçamentos (Finanças Públicas, arts. 165 a 169 da CF/1988)",148,0.13%,148,0.13%,0.13,0.13,3
07.03,Recursos (Segurança da Informação),294,0.25%,294,0.25%,0.25,0.25,2
07.03,Princípios (Serviços Públicos - Lei nº 8.987/1995),75,0.06%,75,0.06%,0.06,0.06,2
07.03,Administração Gerencial (Nova Gestão Pública ou Modelo Pós-Burocrático),248,0.21%,248,0.21%,0.21,0.21,2
07.03.01,Firewall e Proxy,132,0.11%,132,0.11%,0.11,0.11,3
07.03.02,Antivírus e Antispyware,83,0.07%,83,0.07%,0.07,0.07,3
07.03.03,"Procedimentos de Segurança da Informação (Senhas, Autenticação Etc.)",50,0.04%,50,0.04%,0.04,0.04,3
07.03.04,"Demais Recursos (IDS, VPN, etc.)",29,0.02%,29,0.02%,0.02,0.02,3
07.04,Repartição de Competências (Serviços Públicos),23,0.02%,23,0.02%,0.02,0.02,2
07.04,Administração Societal,1,0.00%,1,0.00%,0.0,0.0,2
07.04,"Criptografia, Assinatura e Certificado Digital",81,0.07%,81,0.07%,0.07,0.07,2
07.05,Tópico Mesclado de Modelos Teóricos de Gestão Pública,13,0.01%,13,0.01%,0.01,0.01,2
07.05,Backup,133,0.11%,133,0.11%,0.11,0.11,2
07.05,Concessões (Serviços Públicos - Lei nº 8.987/1995),492,0.42%,492,0.42%,0.42,0.42,2
07.05.01,"Deveres e Direitos (Usuários, Concedente, Concessionária, Licitações - Lei nº 8.987/1995)",138,0.12%,138,0.12%,0.12,0.12,3
07.05.02,"Autorização, Permissão e Concessão (Serviços Públicos - Lei nº 8.987/1995)",228,0.20%,228,0.20%,0.2,0.2,3
07.05.03,Formas de Extinção (Serviços Públicos - Lei nº 8.987/1995),102,0.09%,102,0.09%,0.09,0.09,3
07.05.04,Intervenção (Serviços Públicos - Lei nº 8.987/1995),14,0.01%,14,0.01%,0.01,0.01,3
07.05.05,Subconcessão (Serviços Públicos - Lei nº 8.987/1995),10,0.01%,10,0.01%,0.01,0.01,3
07.06,Convênios Administrativos,309,0.27%,309,0.27%,0.27,0.27,2
07.07,Lei nº 11.079/2004 - Parceria Público-Privada (PPP),139,0.12%,139,0.12%,0.12,0.12,2
07.08,Lei nº 11.107/2005 - Normas Gerais de Contratação de Consórcios Públicos,58,0.05%,58,0.05%,0.05,0.05,2
07.09,Lei nº 13.019/2014 - Estatuto das Parcerias,36,0.03%,36,0.03%,0.03,0.03,2
07.10,Lei nº 13.460/2017 - Direitos Básicos do Usuário do Serviço Público,16,0.01%,16,0.01%,0.01,0.01,2
07.11,Lei nº 13.726/2018 - Desburocratização e Simplificação,4,0.00%,4,0.00%,0.0,0.0,2
07.12,Decreto nº 9.094/2017 - Simplificação e Racionalização de Serviços Públicos,6,0.01%,6,0.01%,0.01,0.01,2
07.13,Legislação Estadual sobre Serviço Público,10,0.01%,10,0.01%,0.01,0.01,2
07.14,Legislação Municipal sobre Serviço Público,1,0.00%,1,0.00%,0.0,0.0,2
07.15,Tópicos Mesclados de Serviços Públicos,41,0.04%,41,0.04%,0.04,0.04,2
08,"Compactadores e Descompactadores (Winzip, Winrar, etc.)",14,0.01%,14,0.01%,0.01,0.01,1
08,Evolução da APU no Brasil,483,0.42%,483,0.42%,0.42,0.42,1
08,Regência,929,0.80%,929,0.80%,0.8,0.8,1
08,Controle da Administração,977,0.84%,977,0.84%,0.84,0.84,1
08,Da Ordem Econômica e Financeira (arts. 170 a 192 da CF/1988),312,0.27%,312,0.27%,0.27,0.27,1
08.01,Patrimonialismo no Brasil,19,0.02%,19,0.02%,0.02,0.02,2
08.01,Regência Nominal e Verbal (Casos Gerais),315,0.27%,315,0.27%,0.27,0.27,2
08.01,"Controle da Administração: Conceitos, Princípios, Abrangência e Classificações",114,0.10%,114,0.10%,0.1,0.1,2
08.01,Princípios Gerais da Ordem Econômica (arts. 170 a 172 e 175 a 181 da CF/1988),191,0.16%,191,0.16%,0.16,0.16,2
08.02,Controle Administrativo (Direito Administrativo),172,0.15%,172,0.15%,0.15,0.15,2
08.02,A Reforma Burocrática no Brasil,200,0.17%,200,0.17%,0.17,0.17,2
08.02,Atuação do Estado no Domínio Econômico (arts. 173 e 174 da CF/1988),33,0.03%,33,0.03%,0.03,0.03,2
08.02,Crase,614,0.53%,614,0.53%,0.53,0.53,2
08.03,"Políticas Urbana, Agrária e Fundiária (arts. 182 a 191 da CF/1988)",81,0.07%,81,0.07%,0.07,0.07,2
08.03,A Reforma Gerencial no Brasil,264,0.23%,264,0.23%,0.23,0.23,2
08.03,Controle Legislativo ou Parlamentar,265,0.23%,265,0.23%,0.23,0.23,2
08.03.01,Parlamentar Direto (Controle Político),92,0.08%,92,0.08%,0.08,0.08,3
08.03.02,Parlamentar Indireto (Tribunais de Contas e Controle Técnico-Financeiro),173,0.15%,173,0.15%,0.15,0.15,3
08.04,Sistema Financeiro Nacional (art. 192 da CF/1988),7,0.01%,7,0.01%,0.01,0.01,2
08.04,Controle Popular ou Social,10,0.01%,10,0.01%,0.01,0.01,2
08.05,Controle Jurisdicional,199,0.17%,199,0.17%,0.17,0.17,2
08.06,Lei nº 12.846/2013 - Lei Anticorrupção,135,0.12%,135,0.12%,0.12,0.12,2
08.06.01,Disposições Gerais (arts. 1º a 4º da Lei nº 12.846/2013),31,0.03%,31,0.03%,0.03,0.03,3
08.06.02,Dos Atos Lesivos à Administração Pública Nacional ou Estrangeira (art. 5º da Lei nº 12.846/2013),12,0.01%,12,0.01%,0.01,0.01,3
08.06.03,Da Responsabilização Administrativa (arts. 6º e 7º da Lei nº 12.846/2013),22,0.02%,22,0.02%,0.02,0.02,3
08.06.04,Do Processo Administrativo de Responsabilização (arts. 8º a 15 da Lei nº 12.846/2013),20,0.02%,20,0.02%,0.02,0.02,3
08.06.05,Do Acordo de Leniência (arts. 16 e 17 da Lei nº 12.846/2013),37,0.03%,37,0.03%,0.03,0.03,3
08.06.06,Da Responsabilização Judicial (arts. 18 a 21 da Lei nº 12.846/2013),8,0.01%,8,0.01%,0.01,0.01,3
08.06.07,Disposições Finais (arts. 22 a 31 da Lei nº 12.846/2013),5,0.00%,5,0.00%,0.0,0.0,3
08.07,Decreto nº 11.129/2022 - Regulamenta a Lei nº 12.846/2013 (Lei Anticorrupção),7,0.01%,7,0.01%,0.01,0.01,2
08.08,Legislação Estadual Anticorrupção,23,0.02%,23,0.02%,0.02,0.02,2
08.09,Legislação Municipal Anticorrupção,1,0.00%,1,0.00%,0.0,0.0,2
